가게 이름,업종구분,주소,URL
애슐리퀸즈 미아사거리역점,패밀리레스토랑,서울 강북구 도봉로 52 Y스퀘어 5층,https://pcmap.place.naver.com/restaurant/37542868/review/visitor#
흥부전놀부전,요리주점,서울 강북구 노해로 42-1,https://pcmap.place.naver.com/restaurant/20929120/review/visitor#
꿀뚜껑,"육류,고기요리",서울 강북구 월계로7나길 28 1층,https://pcmap.place.naver.com/restaurant/1645955179/review/visitor#
쿠시 수유본점,이자카야,서울 강북구 노해로8길 9-20,https://pcmap.place.naver.com/restaurant/20976468/review/visitor#
분코 수유점,이자카야,서울 강북구 도봉로87길 34-4 2층 분코,https://pcmap.place.naver.com/restaurant/1756703719/review/visitor#
오봉집 미아점,한식,서울 강북구 솔매로46길 6,https://pcmap.place.naver.com/restaurant/1245346679/review/visitor#
신오구반점 수유점,중식당,서울 강북구 수유로 84 2층,https://pcmap.place.naver.com/restaurant/1379823744/review/visitor#
도고집,"육류,고기요리",서울 강북구 한천로139나길 22 1층,https://pcmap.place.naver.com/restaurant/472939628/review/visitor#
파도포차 수유조개,조개요리,서울 강북구 도봉로87길 32-4 1층 파도포차,https://pcmap.place.naver.com/restaurant/1469138106/review/visitor#
노르웨이안우드,"카페,디저트","서울 강북구 도봉로87길 32-6 1,2층",https://pcmap.place.naver.com/restaurant/1603200457/review/visitor#
민지네,샌드위치,서울 강북구 한천로139가길 18 1층,https://pcmap.place.naver.com/restaurant/1527025629/review/visitor#
동네함박,양식,서울 강북구 도봉로15길 11 2층,https://pcmap.place.naver.com/restaurant/1697236033/review/visitor#
하늘아래작은마을,라이브카페,서울 강북구 삼양로181길 253 우이동미림산장,https://pcmap.place.naver.com/restaurant/37997842/review/visitor#
꼬숩집,"육류,고기요리",서울 강북구 월계로7나길 8 꼬숩집,https://pcmap.place.naver.com/restaurant/1780676153/review/visitor#
청년고기장수 수유점,돼지고기구이,서울 강북구 노해로 13 1층,https://pcmap.place.naver.com/restaurant/1847626713/review/visitor#
고메스퀘어 수유점,"일식,초밥뷔페",서울 강북구 도봉로 308 9층,https://pcmap.place.naver.com/restaurant/1899123616/review/visitor#
데어유고,카페,서울 강북구 오현로6길 77 1층 데어유고,https://pcmap.place.naver.com/restaurant/1658928752/review/visitor#
연포생선구이전문점,생선구이,서울 강북구 덕릉로28길 65,https://pcmap.place.naver.com/restaurant/18600759/review/visitor#
티틸 CAFE+BAR,"카페,디저트",서울 강북구 노해로 42 2F,https://pcmap.place.naver.com/restaurant/1866784569/review/visitor#
군산해물탕,"매운탕,해물탕",서울 강북구 한천로139길 41 1층 군산해물탕,https://pcmap.place.naver.com/restaurant/13154560/review/visitor#
제일분식,떡볶이,서울 강북구 숭인로 65-3,https://pcmap.place.naver.com/restaurant/20601345/review/visitor#
포몬스 수유점,베트남음식,서울 강북구 도봉로 290 수유역푸르지오시티 2층,https://pcmap.place.naver.com/restaurant/13309506/review/visitor#
느자구,요리주점,서울 강북구 오패산로31길 32 1층 느자구,https://pcmap.place.naver.com/restaurant/1788372751/review/visitor#
샘터마루,한식,서울 강북구 4.19로12길 35,https://pcmap.place.naver.com/restaurant/11727429/review/visitor#
