가게 이름,업종구분,주소,URL
수락이오냉면 노원본점,"칼국수,만두",서울 노원구 동일로237다길 7 창일빌딩,https://pcmap.place.naver.com/restaurant/13164672/review/visitor#
장안동 본참치,생선회,서울 노원구 동일로174길 7 1층,https://pcmap.place.naver.com/restaurant/1239028310/review/visitor#
메모아,브런치,서울 노원구 동일로174길 37-16 1층,https://pcmap.place.naver.com/restaurant/1024231099/review/visitor#
스윗레시피,"카페,디저트",서울 노원구 상계로1길 38 2층 스윗레시피,https://pcmap.place.naver.com/restaurant/37798087/review/visitor#
돈미화로 수락산본점,"육류,고기요리",서울 노원구 동일로242가길 22 1층 102호,https://pcmap.place.naver.com/restaurant/1668473544/review/visitor#
인생한밤,요리주점,서울 노원구 동일로195길 7 103호,https://pcmap.place.naver.com/restaurant/1124444901/review/visitor#
예향정 노원점,한식,서울 노원구 동일로217가길 31 2층,https://pcmap.place.naver.com/restaurant/38549392/review/visitor#
제일콩집,두부요리,서울 노원구 동일로174길 37-8,https://pcmap.place.naver.com/restaurant/11679297/review/visitor#
풍미연,한식,서울 노원구 노해로85길 7 큰집돌솥설렁탕,https://pcmap.place.naver.com/restaurant/32442409/review/visitor#
금쪽,한식,서울 노원구 동일로192가길 9 지상1층,https://pcmap.place.naver.com/restaurant/1557873797/review/visitor#
버거리 은행사거리점,햄버거,서울 노원구 한글비석로 270,https://pcmap.place.naver.com/restaurant/1897822449/review/visitor#
웨일스,"맥주,호프",서울 노원구 공릉로35길 22 1층 웨일스,https://pcmap.place.naver.com/restaurant/1838733370/review/visitor#
코타브레드,베이커리,서울 노원구 공릉로 165 코타브레드,https://pcmap.place.naver.com/restaurant/1917010147/review/visitor#
곳 노원본점,요리주점,서울 노원구 노해로85길 10-55 소담빌 1층 105호 106호,https://pcmap.place.naver.com/restaurant/1123262063/review/visitor#
현덕육회 석계점,한식,서울 노원구 화랑로47길 4 현덕육회,https://pcmap.place.naver.com/restaurant/1208827309/review/visitor#
위플랜트위커피,"카페,디저트",서울 노원구 동일로178길 59-39 2층,https://pcmap.place.naver.com/restaurant/1919675345/review/visitor#
해품장팔팔장어 본점,"장어,먹장어요리",서울 노원구 노원로 192,https://pcmap.place.naver.com/restaurant/387029301/review/visitor#
아웃백스테이크하우스 노원점,패밀리레스토랑,서울 노원구 동일로 1419 디와이홀딩스빌딩 1층,https://pcmap.place.naver.com/restaurant/11848895/review/visitor#
미랑샤브 노원본점,샤브샤브,서울 노원구 동일로192길 37 2층,https://pcmap.place.naver.com/restaurant/1641655132/review/visitor#
회장님댁 노원점,요리주점,서울 노원구 노해로81길 22-22 2층 회장님댁 노원점,https://pcmap.place.naver.com/restaurant/1314429420/review/visitor#
또와순두부수제비,두부요리,서울 노원구 노해로85길 10-8 산호빌딩,https://pcmap.place.naver.com/restaurant/18647609/review/visitor#
플랫커피,"카페,디저트",서울 노원구 공릉로39길 20 1층,https://pcmap.place.naver.com/restaurant/1467633478/review/visitor#
바이레인베이크샵,베이커리,서울 노원구 동일로182길 37-6 1층 바이레인,https://pcmap.place.naver.com/restaurant/1642402650/review/visitor#
미미스낵,요리주점,서울 노원구 노해로81길 16 2층,https://pcmap.place.naver.com/restaurant/1333056623/review/visitor#
휴돈정,돈가스,서울 노원구 동일로191가길 6 104호,https://pcmap.place.naver.com/restaurant/1316857053/review/visitor#
감각,카페,서울 노원구 상계로 77 다나프라자 1층,https://pcmap.place.naver.com/restaurant/1794396162/review/visitor#
소담촌 노원역점,샤브샤브,서울 노원구 상계로 90 마블러스1 2층,https://pcmap.place.naver.com/restaurant/1609606599/review/visitor#
삼정종합어시장,생선회,서울 노원구 동일로192길 47 2층 삼정종합어시장,https://pcmap.place.naver.com/restaurant/1285718642/review/visitor#
루맨틱,와인,서울 노원구 공릉로 104 1층,https://pcmap.place.naver.com/restaurant/1968603134/review/visitor#
숟가락반상 마실,한정식,서울 노원구 노원로 412,https://pcmap.place.naver.com/restaurant/37653080/review/visitor#
호이폴로이커피로스터스,"카페,디저트",서울 노원구 동일로186길 64 상가,https://pcmap.place.naver.com/restaurant/1074070561/review/visitor#
하나샤브샤브 중계본점,샤브샤브,서울 노원구 동일로203가길 29 브라운스톤중계 101호,https://pcmap.place.naver.com/restaurant/350422823/review/visitor#
그남자의덮밥 중계점,한식,서울 노원구 동일로203가길 29 브라운스톤중계 156호 그남자의덮밥,https://pcmap.place.naver.com/restaurant/1540289123/review/visitor#
속초붉은대게,대게요리,서울 노원구 한글비석로 366 신일아파트 상가동 1층,https://pcmap.place.naver.com/restaurant/38588914/review/visitor#
스시마고 롯데백화점 노원점,"초밥,롤",서울 노원구 동일로 1414 지하 1층,https://pcmap.place.naver.com/restaurant/1657571413/review/visitor#
메트로폴리스,베이커리,서울 노원구 동일로178길 11-9 1층 MET,https://pcmap.place.naver.com/restaurant/1815424144/review/visitor#
마들원,오리요리,서울 노원구 공릉로62길 27-11,https://pcmap.place.naver.com/restaurant/1353963866/review/visitor#
달빛돼지,돼지고기구이,서울 노원구 덕릉로83길 20-7 1층,https://pcmap.place.naver.com/restaurant/1033558905/review/visitor#
526,이자카야,서울 노원구 공릉로 112 101호 상호명 526,https://pcmap.place.naver.com/restaurant/1566340124/review/visitor#
화연장,이자카야,서울 노원구 공릉로 191-5 1층,https://pcmap.place.naver.com/restaurant/1890935047/review/visitor#
봉자막창 공릉역점,"곱창,막창,양","서울 노원구 동일로192길 31 1층, 2층",https://pcmap.place.naver.com/restaurant/1194955746/review/visitor#
갓포야,이자카야,서울 노원구 상계로 77 1층 갓포야,https://pcmap.place.naver.com/restaurant/1439751671/review/visitor#
커피베스코 노원점,카페,서울 노원구 상계로 55 위성프라자,https://pcmap.place.naver.com/restaurant/31394989/review/visitor#
예촌 도토리 임자탕 노원점,한정식,서울 노원구 상계로7길 1 1층,https://pcmap.place.naver.com/restaurant/1293972974/review/visitor#
케슬리,카페,서울 노원구 상계로1길 74 104호,https://pcmap.place.naver.com/restaurant/1879294743/review/visitor#
플로레스테이블,"카페,디저트",서울 노원구 상계로5길 12 동양메이저상가 3층 305호,https://pcmap.place.naver.com/restaurant/1246737404/review/visitor#
쭈꾸미도사 공릉점,주꾸미요리,서울 노원구 동일로192길 53 1층,https://pcmap.place.naver.com/restaurant/1835824917/review/visitor#
무명칼국수,"칼국수,만두",서울 노원구 석계로7길 4,https://pcmap.place.naver.com/restaurant/13095857/review/visitor#
장천,중식당,서울 노원구 동일로217가길 11 평화빌딩202호 장천,https://pcmap.place.naver.com/restaurant/38310719/review/visitor#
청와정,"육류,고기요리",서울 노원구 동일로 1611 청와정,https://pcmap.place.naver.com/restaurant/18032973/review/visitor#
호접몽,중식당,서울 노원구 중계로18길 9 에덴프라자205호,https://pcmap.place.naver.com/restaurant/18046251/review/visitor#
미라쥬펍,요리주점,서울 노원구 동일로184길 69-9 2층,https://pcmap.place.naver.com/restaurant/1663939005/review/visitor#
씬머이,베트남음식,서울 노원구 동일로173길 15 1층,https://pcmap.place.naver.com/restaurant/1120806929/review/visitor#
위안바오,"딤섬,중식만두",서울 노원구 동일로 1426 1층 103호,https://pcmap.place.naver.com/restaurant/1223729035/review/visitor#
삼삼뼈국 상계점,한식,서울 노원구 한글비석로 422 101호,https://pcmap.place.naver.com/restaurant/1755246210/review/visitor#
유키가츠&텐동 노원점,돈가스,서울 노원구 공릉로46길 23 상가동 1층 유키가츠&텐동,https://pcmap.place.naver.com/restaurant/1705106572/review/visitor#
하토상의술방,이자카야,서울 노원구 상계로3길 10,https://pcmap.place.naver.com/restaurant/1184799562/review/visitor#
